company_name,address,phone
赤坂デンタルクリニック,東京都港区赤坂3-13-13 赤坂中村ビル3F,03-3585-1548
表参道矯正歯科,東京都港区南青山 3-18-17 青山十八番館 5F,
恵比寿駅前歯科,東京都渋谷区恵比寿西１－９－６　ＷＥＳＴＣＯ．７Ｆ,
代官山デンタルサロン,東京都渋谷区恵比寿西2-20-15ソルティス代官山1F,03-6416-5747
恵比寿エスト矯正歯科,東京都渋谷区恵比寿1-20-27 エストエビス2Ｆ,03-6427-8846
